	AUR-AFEA-TTP1-A-1-0-R-A741-41	AUR-AFEA-TTM4-A-1-1-R-A742-41	AUR-AFEA-TTM2-A-1-1-R-A742-41	AUR-AFEA-TTM1-A-1-1-R-A742-41	AUR-AFEA-TTM3-A-1-1-R-A742-41	AUR-AFEA-TTM6-A-1-0-R-A741-41	AUR-AFE7-TTP2-A-1-1-R-A742-41	AUR-AFE7-TTM2-A-1-1-R-A742-41	AUR-AFE7-TTM1-A-1-1-R-A742-41	AUR-AFE7-TTM3-A-1-1-R-A742-41	AUR-AD9G-TTP1-B-4-0-R-A584-39	AUR-AD9G-TTM2-A-1-1-R-A542-39	AUR-AD9G-TTM3-A-1-1-R-A542-39	AUR-AFE5-TTP1-A-1-0-R-A741-41	AUR-AFE5-TTM4-A-1-1-R-A742-41	AUR-AFE5-TTM9-A-1-1-R-A742-41	AUR-AG0N-TTP1-A-1-0-R-A741-41	AUR-AG0N-TTM1-A-1-1-R-A743-41	AUR-AG0M-TTP1-A-2-0-R-A741-41	AUR-AG0M-TTM1-A-2-1-R-A743-41	AUR-AG0J-TTP1-A-1-0-R-A741-41	AUR-AG0J-TTM1-A-1-0-R-A743-41	AUR-AFSP-TTP1-A-8-0-R-A741-41	AUR-AFSP-TTM1-A-8-0-R-A741-41	AUR-AF9A-TTP1-A-1-0-R-A741-41	AUR-AF9A-TTM1-A-1-1-R-A742-41	AUR-AF98-TTP1-A-1-0-R-A741-41	AUR-AF98-TTM1-A-1-1-R-A742-41	AUR-AF95-TTP1-A-1-0-R-A741-41	AUR-AF95-TTM1-A-1-1-R-A742-41	AUR-AFSL-TTP1-A-8-0-R-A741-41	AUR-AFSL-TTM1-A-8-0-R-A741-41	AUR-AFR5-TTP1-A-1-1-R-A743-41	AUR-AFR5-TTM1-A-1-1-R-A743-41	AUR-AE6Y-TTP1-A-1-0-R-A741-41	AUR-AE6Y-TTM1-A-1-1-R-A742-41	AUR-AE5H-TTP1-A-1-1-R-A742-41	AUR-AE5H-TTM1-A-1-1-R-A742-41	AUR-AFUI-TTP1-A-1-0-R-A743-41	AUR-AFUI-TTM1-A-1-0-R-A743-41	AUR-AER7-TTP1-A-1-0-R-A741-41	AUR-AER7-TTM4-A-1-1-R-A742-41	AUR-AER6-TTP1-A-1-0-R-A741-41	AUR-AER6-TTM2-A-1-1-R-A742-41	AUR-AER6-TTM3-A-1-1-R-A742-41	AUR-AER6-TTM7-A-1-1-R-A742-41	AUR-AER6-TTM9-A-1-1-R-A742-41	AUR-AER6-TTM6-A-1-1-R-A742-41	AUR-AER6-TTM5-A-1-1-R-A742-41	AUR-AER6-TTM1-A-1-1-R-A742-41	AUR-AER6-TTM10-A-1-1-R-A742-41	AUR-AFEC-TTP2-A-1-1-R-A742-41	AUR-AFEC-TTM3-A-1-1-R-A742-41	AUR-AFEC-TTM4-A-1-1-R-A742-41	AUR-AFEC-TTM6-A-1-1-R-A742-41	AUR-AG12-TTP1-A-1-0-R-A741-41	AUR-AG12-TTM1-A-1-1-R-A743-41	AUR-AERX-TTP1-A-1-0-R-A741-41	AUR-AERX-TTM1-A-1-1-R-A742-41	AUR-AERW-TTP1-B-1-0-R-A741-41	AUR-AERW-TTM1-A-1-1-R-A742-41	AUR-AFSO-TTP1-A-8-0-R-A741-41	AUR-AFSO-TTM1-A-8-0-R-A741-41	AUR-AFR3-TTP1-A-2-1-R-A743-41	AUR-AFR3-TTM1-A-1-1-R-A743-41	AUR-AE5G-TTP1-A-1-1-R-A742-41	AUR-AE5G-TTM1-A-1-1-R-A742-41	AUR-AF94-TTP1-A-1-0-R-A741-41	AUR-AF94-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTP1-A-1-0-R-A741-41	AUR-AFE4-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTM6-A-1-1-R-A742-41	AUR-AFE4-TTM5-A-1-1-R-A742-41	AUR-AFUN-TTP1-A-1-0-R-A741-41	AUR-AFUN-TTM1-A-1-0-R-A743-41	AUR-AFUL-TTP1-A-1-1-R-A743-41	AUR-AFUL-TTM1-A-1-1-R-A743-41	AUR-AFKB-TTP1-A-10-0-R-A741-41	AUR-AFKB-TTM1-A-1-1-R-A742-41	AUR-AEPZ-TTP1-A-1-1-R-A742-41	AUR-AEPZ-TTM1-A-1-1-R-A742-41	AUR-AER8-TTP1-A-1-0-R-A741-41	AUR-AER8-TTM2-A-1-1-R-A742-41	AUR-AFKF-TTP1-A-10-0-R-A741-41	AUR-AFKF-TTM1-A-1-1-R-A742-41	AUR-AFUM-TTP1-A-1-0-R-A741-41	AUR-AFUM-TTM1-A-1-1-R-A743-41	AUR-AFE9-TTP1-A-1-0-R-A741-41	AUR-AFE9-TTM1-A-1-1-R-A742-41	AUR-AFE9-TTM4-A-1-1-R-A742-41	AUR-AFE9-TTM2-A-1-1-R-A742-41	AUR-AFE9-TTM3-A-1-1-R-A742-41	AUR-AER2-TTP1-A-1-1-R-A742-41	AUR-AER2-TTM3-A-1-1-R-A742-41	AUR-AER2-TTM1-A-1-1-R-A742-41	AUR-AFE6-TTP1-A-1-0-R-A741-41	AUR-AFE6-TTM2-A-1-1-R-A742-41	AUR-AFE6-TTM1-A-1-1-R-A742-41	AUR-AFR4-TTP1-A-1-1-R-A743-41	AUR-AFR4-TTM1-A-1-1-R-A743-41	AUR-AE6X-TTP1-A-1-0-R-A741-41	AUR-AE6X-TTM1-A-1-1-R-A742-41	AUR-AFKD-TTP1-A-1-1-R-A742-41	AUR-AER4-TTP1-A-1-0-R-A741-41	AUR-AD9J-TTP1-B-4-0-R-A584-39	AUR-AFUO-TTP1-A-1-0-R-A741-41	AUR-AFR2-TTP1-A-1-1-R-A742-41	AUR-AERY-TTM1-A-1-1-R-A742-41	AUR-ADCB-TTM1-A-1-1-R-A742-41	AUR-AD9I-TTM3-A-1-1-R-A542-39	AUR-AD9E-TTM1-A-1-1-R-A542-39	AUR-AFUP-TTM1-A-1-1-R-A743-41	AUR-AFUK-TTM2-A-1-0-R-A743-41	AUR-AD9H-TTM1-A-2-1-R-A542-39	AUR-AD9E-TTM4-A-1-1-R-A542-39	AUR-AD9E-TTM2-A-1-1-R-A542-39	AUR-AFUK-TTM1-A-1-0-R-A743-41	AUR-AD9H-TTM3-A-1-1-R-A542-39	AUR-AD9H-TTM2-A-1-1-R-A542-39	AUR-AD9F-TTM3-A-1-1-R-A542-39	AUR-AD9F-TTM1-A-1-1-R-A542-39	AUR-AD9F-TTM2-A-1-1-R-A542-39	AUR-AFUG-TTM1-A-1-1-R-A743-41	AUR-AFE5-NT1-A-1-1-R-A742-41	AUR-AFE9-NT1-A-1-1-R-A742-41	AUR-AFE6-NT1-A-1-1-R-A742-41	AUR-AFE4-NT1-A-1-1-R-A742-41	AUR-AE5G-NT1-A-1-1-R-A742-41	AUR-AFEC-NT1-A-1-1-R-A742-41
N:GEXP::GREB1:9687:	176.0000105	67.99992	414.999399	318.00067	94.00001	27.00001	218.99963	83.00005	81.00002	55	242.99981	600.00009	709.9996402	170.00012	84.00003	49.99998	142.00015	161.999969	519.000326	2777.0036	471.99969	1259.0002	312.000205	1037.999702	313.00039	142.00003	251.00021	427.99936	569.99954	2455.99798	332.99975	98	429.00002	696.99984	939.0000702	70.000038	416.99914	95.99993001	334.00056	237.0003665	217.9997505	199.000148	312.00038	181.99989	226.00024	122.999948	78.99995	170.00006	292.000454	164.99968	330.99998	163.00001	136.00016	175.99994	176.00002	592.00026	543.99992	629.00082	232.99961	660.0006	375.13802	2336.99851	80.99999	2550.99699	193.00008	703.99929	22834.9493	1657.00098	5421.00142	812.00072	7384.0017	21292.9928	4439.0042	3475.99822	5207.00279	19095.03135	3545.0022	1287.00061	32	19906.999	1007.0004	1658.00043	7232.9943	150.99999	1685.99527	2913.00596	974.99964	1785.0012	14082.9961	972.9994	203.99999	3287.9988	7966.0006	1111.0001	4471.0039	752.0005	203.99986	66.99997	849.99937	723.0002	522.0002	1238.99871	144.99997	7312.99963	721.0001004	1901.0025	10074.0032	869.00009	57.00002	17670.034	268.0003	21213.0186	92.99999	3097.99956	5183.00522	4360.0033	13.999995	3285.994	2015.00072	14748.95191	7730.9984	1620.00035	2208.9957	1753.9993	1287.9997	165.000424	198.000252	798.99977	1113.99951
N:GEXP::GTSE1:51512:	213.0005	858.0001	275.0002	276.99961	222.00014	377.0005	217.00047	648.00019	541.99971	654.0003	183.99967	230.00042	292.00047	285.0004	271.99968	169.00046	551.00062	1606.9976	107.00007	365.00009	429.0001	467.9995	137.9997	200.9998	305.99968	1043.99974	273.00016	451.0005	633.0002	1448.00437	459.0002	235.99963	827.9999	565.0002	2862.0011	3480.00254	1136.9974	355.00039	966.0001	857.9996	229.9996	36.99999	252.00033	357.00018	531.00039	266.00056	343.99952	120.99956	314.00031	137.9999	146.00012	176.9999	271	788.99975	389.99981	171.00045	300.00011	349.9996	537.99987	152.0002	301.99952	223.00035	388.9998	977.99978	1319.9969	788.9995	1016.9998	136	351.9997	57.00001	80.00003	242.00034	92.00003	46.00006	174.99958	157.00041	19.99999	55.99998	120.99995	243.00022	31	13	348.9999	117	844.99992	45.00006	2885.0035	25	134.99963	20	17.00004	57	255.99955	31	122.00002	90.99997	780.0003	384.9998	248.00046	260.00041	127.9999	802.99994	773.0005	33.99997	50.000012	243	398	969.0005	298.0002	349.99983	1477.9984	257.00043	50.99998	19	203.00036	266.00025	148.99982	283.99989	414.99986	390.0004	484.00043	477.0001	664.99999	18	8	14.99999	6	100.00003	19.00001
N:GEXP::HS6ST3:266722:	22	115	563	277	89	32	1370.0036	8811	2508	3378.15	178.9997	70	45	20	9	18.99995	1201	1391	86.0001	246.9998	316.9999	22	71	22	1760.001	2335.998	47	14	13	59	214.0003	15	31	367	3	4	251	298.9996	315	9	91	26	226	632.0001	373	540.0000063	169	165	123	836	290	100	58	11	5	227.9998	426	3807.998	5830	815.001	2021.996	84	573	1002	19	5041	374	2112.002	1970	801.0012	1255	6736	1671.9971	20	826	158	1448	155.0003	2996	575	1362.001	882	653	538	2335	34	42	0	6473	2	15	1386	5	5	72	36	9	56	863	307.0006	1	5	4	594	146.9997	333.0004	47.99996	18	372.0004	49	2934.001	2104.997	11	23	2632.0006	2191	21	144	94	641	268	65	1453.001	2554	2234	17.99999	3	68	77
N:GEXP::IGF1R:3480:	3287.003992	7924.00011	7464.99846	3000.99774	2769.00206	6772.999	8297.99668	12027.99557	13350.00292	12718.99454	1790.00141	1790.99984	2856.0053	1007.99997	10130.99882	6669.00114	7249.99989	17935.02825	2782.99715	3407.00557	3988.99786	8223.00177	2247.0046	9886.99877	601.00047	553.99956	1848.00264	1225.99981	1442.99969	1398.99998	7533.00143	3349.99644	951.00028	267.00005	18939.00564	51144.98643	9226.00054	8439.99883	11390.99871	6399.99799	5069.00487	5944.99986	4810.0026	8405.99815	4990.99991	1624.99557	2548.00435	7614.00105	5368.99969	3244.00384	5790.99786	2843.00109	8881.00431	10786.00785	10682.00081	4109.00049	11515.9964	4500.00061	3381.00193	1522.00355	1537.99578	4853.99918	2128.00411	14658.00251	202.000058	6360.99538	36108.04258	5196.99955	6356.99297	7156.00089	11241.00997	21838.03234	9100.00096	3957.00124	25633.0237	13352.00317	4584.99601	6489.00478	20721.96259	39623.04647	19474.03234	2684.00454	5006.00103	1414.00499	1546.0008	2149.00226	852.99954	6030.99496	16762.98044	1247.99835	2507.99516	9137.99591	94481.0004	18733.04166	36857.99568	2866.00245	4084.00202	3813.00142	9896.00598	708.00058	4056.99784	12771.00928	4710.99633	6427.99481	3383.00106	6275.00346	348098.5768	4810.00291	1063.99983	8934.99231	1485.000179	22131.02664	15262.00097	3652.00544	28064.99885	13530.00094	4671.99999	28863.01149	30959.05487	12036.99352	2456.99499	2369.99803	9007.00398	5492.99772	4837.00687	12370.00027	466.000376	14409.99724	6812.99574
N:GEXP::IRX1:79192:	14	9	51	75	17	4	58	4.00115	4	8	66.3767	130.439	168.47	191.402	1924	1398	120.284	390.357	34.987	55	150	77	330.404	357	17	1.14316	973.001	889	15	28	603	136	43.5425	76	194	619	2116	188	36.9589	51	15.2293	12.6836	58	3.43982	8	74	0	1	2	117	3	38.3837	5.69336	1	9	31	0	27.2088	0	56.3562	52	14	2	33.5134	2.29362	112.632	2.00022	28	190	40	66.2397	0	17	3.52865	0	477	0	5.82465	5	844	2	27	1.14203	0	41	71.0001	2.31045	1	0	0	53.3588	5	7	37	11.3671	25.6218	7	4	1162	213	147	6662.94	21.5781	37.5249	14	6.00001	59.8602	0	2	0	3.45628	0	4.52627	0	1	13.8687	10	0	0	72.5236	150.118	103.657	85	0	0	185	0	1924	898
N:GEXP::KDM4B:23030:	1082.00046	2487.00138	2072.99936	1171.00032	1062.000382	1462.99994	2510.99924	2403.997397	2589.99866	1992.00081	629.00023	2093.0007	2117.00209	478.99995	2391.00023	1775.99938	1609.999583	3234.99924	729.9997915	1921.99467	1974.00062	2475.00295	1066.000837	860.00017	2648.00035	4178.99772	1483.00051	2395.00398	2068.00014	2819.00129	1748.999776	1112.00038	2982.004422	2222.0045	1534.00003	3130.9989	5553.00262	2265.00379	3245.99655	3538.00132	2227.00054	4970.00485	1169.000822	2854.00048	1906	1020.99959	1074.999876	1545.99995	2188.99721	2114.00539	2230.00051	1032.00067	2310.00146	4822.0029	2406.99975	1190.000639	1451.00218	2551.00211	2096.00092	1514.00008	1048.00022	2431.99648	2020.00102	3448.0008	1556.00067	3767.99616	5157.999293	1893.00066	3787.00367	1391.00097	3256.00255	5686.99608	2637.00067	4162.00058	4239.00312	8251.00983	3859.00963	3877.00249	4583.99587	25291.01206	8978.0024	2129.00099	8718.003334	702.00065	3887.0007	978.00048	3390.99542	1088.00108	4744.99103	3640.00171	1319.00041	1696.00017	4665.99472	3736.00195	2628.00003	1679.00074	6702.00754	8049.99727	4445.99863	1661.99708	1882.00052	3052.00065	1841.00071	3261.0034	632.00064	1767.00166	3495.99827	2425	2632.00024	5544.99766	3932.9996	14440.00044	7724.0017	515.9997888	6772.0059	2641.00168	1743.00002	4604.99997	4081.99571	7416.00225	8447.99608	5081.99343	4714.00169	4254.99874	2136.004324	2368.99976	3064.00186	1717.000589	2063.9997
N:GEXP::KIF20A:10112:	413.0005	4457.001002	1406.99954	603.0000703	964.0002303	1129.00078	454.000061	2045.9996	1252.00073	1272.99889	295.00018	385.00033	913.00032	524.99991	627.00007	304.00033	390.00035	2077.00084	366.00057	2570.0044	700.00061	4121.9961	76.00006	84.0001	853.0007	6530.0034	317.00044	2462.003286	1159.0001	7344.9978	1116.0004	433.00045	1982.58804	2116.57717	607.00026	1672.99669	4719.002817	1365.9992	1567.9989	3732.99975	101.00003	109.99999	414.99965	768.00085	1726.00237	664.00042	830.00014	337.00011	643.99971	378.99981	250.9997	409.99975	522.99983	3200.004778	1110.9997	417.00027	1728.001354	439.9998	1710.99866	137.00034	1538.00138	321.00007	355.9997693	4663.00079	1652.0028	2573.33547	4854.99804	249.99967	1539.00187	177.99978	562.99974	1855.0005	564.99985	30.99999	614.00005	1032.30329	142.99977	65.00005	767.99996	488.46647	85.00004	48.99997	608.00002	138	2709.00357	28	10218.20357	82.00001	810.99991	98.00003	32	192.99983	668.00016	122.99959	256.00041	75.00001	758.99998	1580.997894	525.00015	2949.00061	112.0005	4889.9989	2142.99969	29.99998	86.00001	165.99987	1721.0031	2861.99753	657.0002	910.00017	2274.0024	722	135.00006	25.00001	206.00027	371.00048	440.99961	820.99936	952.99963	1503.00019	2070.00004	1281.99989	2665.0017	5	14.00001	29.99997	11	331.00049	31.99999
N:GEXP::KIF23:9493:	689.78313	3465.9018	2653.9348	780.00064	984.93539	1829.60603	1171.57971	3072.3272	2282.86566	2646.1201	867.00077	783.58739	950.54715	1145.9997	702.02917	350.79742	1521.90905	8082.4207	1068.9475	3770.76319	737.83946	2847.46685	235.00011	440.69489	570.91033	2600.9045	565.00026	1923.86533	1661.91557	5667.7507	2117.94088	667.95105	869.1819	1886.41759	2135.00151	4169.8802	3282.3788	1582.88881	2925.79977	4537.3276	303.7352	193.0004	823.53654	811.5609	1912.8769	907.9366	974.60981	438.4162	764.00045	632.34528	339.0985	682.76095	1569.5608	4069.9147	1558.91364	568.9999	1542.87352	821.0009	2279.44036	475.69488	1851.9817	792.93994	1077.73511	4995.3391	5503.8806	3988.7069	4590.1231	387.81721	825.89549	288.93337	538.66282	1126.69871	502.00009	141.4926781	551.02211	1423.25416	279.7327	126.3913863	1585.527102	476.34054	489.38409	82.00001	1003.000072	203.00003	2481.3364	150.0001214	9142.4002	281.0003	790.00038	32.00001	99.99998	260.69159	1053.88623	234.999848	851.81313	235.70081	637.81557	1446.62406	602.95482	2282.96535	299.52418	4491.5992	2400.78716	142.47047	189.85728	406.0009	2207.7002	3838.3707	3291.3789	1220.43822	1921.82391	921.29863	212.99995	67.00003	161.000095	179.57453	509.99975	647.83261	990.89593	956.86429	1290.94756	779.79048	3197.7886	15	31.0000034	69.000077	14.00000014	558.54711	172.000084
N:GEXP::KIF2C:11004:	324.9999	2283.99856	1691.875	1196.00061	490.0003	867.00017	912.00005	3146.64906	1716.99887	2044.12698	176.99993	256.0002	415.77588	664.00052	637.0005	436.00011	541.99982	3778.3989	378.00038	2226.80768	557.00055	3414.09419	132.0004205	275.00002	554.99958	4622.7635	238.00055	1423.99663	1105.8935	5196.77651	703.99987	520.00056	1909.10307	2601.82332	1424.84202	3840.9453	3325.65095	780.00035	2247.75092	5250.5959	177.7984	62.99998	334.9999	572.99961	1556.84386	567.99982	462.99975	319.99976	578.77017	323.99997	349.00019	533.99964	1371.99615	5609.6065	1574.00372	374.99963	1408.7832	331.92654	835.59709	197.00027	1274.00327	284.82721	799.00037	2766.84531	1688.00043	1239.9675	2800.875136	179.00027	847.99997	113.00007	329.9997639	749.00033	358.000413	73.0001	531.7359	980.65903	130.99951	53.00007	631.0001	429.9999	85	64.00005	619.00025	97	2521.93384	46.4949	15428.63745	28.000019	654.9998	37.99998	26.99996	167.99994	961.8758	169.000345	368.99964	281.00002	1256.8768	1399.0002	667.99972	1059.81859	141.00045	3500.9309	1370.999752	62.00006	45.00002	99.0001	1912.99668	2322.8782	684.93982	625.00043	1273.93638	728.20578	125.00004	19.00005	110.00002	108	404.000191	332.00037	702.0004903	539.90907	850.00036	533.00012	1171.89462	29	22	37.00001	7	194.9999	66.00005
N:GEXP::KRT14:3861:	122.89966	1219.7743	93.3082	580.2018	600.1514	142.68094	3027.9531	14372.146	12105.566	7076.188	36.47439	9.14736	21.3823	1156.9127	2744.498	149.21428	1289.345	3008.4086	429.7626	139.33273	679.3581	199.0599	1250.6059	5.04117	581.791	2019.5199	240.3382	18.17625	4696.55	32197.025	730.344	73.39742	378.0233	20.56878	273.03534	761.28498	6460.869	2182.2172	20.18335	21.34321	750.7759	7625.589	7922.401	48.0871	9.151718	685.67247	0	0	3.04414	381.05835	17.15324	36.30749	21.09522	10.666558	133.96576	438.99623	0	254.10566	0	483.5909	10041.87763	67.44143	14.2723	19.57621	1	988.705	2.06056	0	10	462.5346	4	4.999998	6.999998	9.00001	8.21268	9674.313	120.99999	146.9381	18.71632	11067.254	73	137.89956	3	85	12.19478	350.08082	401.58631	4.000001	0	0	2	5	0	3	8	158.9567	1	9.045674	15596.071	264.91339	212.47463	9729.7551	0	370.7304	75.8394	1	302.44923	0	5	0	1	4	58.76907	0	0	3	3	1	1	0	2	0	17746.5754	0	1	1	0	18944.106	18951.3208
N:GEXP::KRT17:3872:	424.0005	2620.99316	4316.68125	6071.8999	2515.9743	517.95283	6848.56553	13681.98552	4736.9567	2100.95688	5462.80438	8182.94242	7055.00716	1652.8726	43596.6013	3408.994	574.40975	532.9543	1539.9861	12450.0265	1249.92496	354.00047	821.8785	230.99967	195	6535.984	391.987	306.99017	2298.9332	39247.59362	3393.7524	668.97596	3353.8098	209.97044	6175.809	23185.71887	49888.46	12402.01256	90989.7884	205977.0563	1075.752	33936.65697	2816.9995	1993.9905	1794.99902	1169.9903	333.00039	222.00046	931.99827	2467.0002	8425.0052	2774.92772	3223.919	9605.9756	26107.982	901.95754	303.99208	337.57486	39.00003	994.9549	1695.97536	517.9938	1553.87751	824.94839	12	1643.988	35.00002	38.99998	175.00021	381.97679	92.99999	58.99998	44.000056	0	211.00048	18997.8359	7	173.99992	205.99953	10196.79878	14.1522516	81.00007	31.999987	96	30.99998	426.00033	21426.9739	6.000002	120	18.99995	830.9891	3	275.00011	2847.9789	46.999988	285.00032	128.99989	67.00004	27484.11391	11513.9516	1101.9728	47305.6348	4393.9495	484.0002	75.93637	9.00001	609.98274	225.00019	592.995635	47	6	4	56	0	3	231.00046	4	0	1	3	139.00046	2	2353.127	156.0003	134.0001	623.99492	0	23577.96532	42801.85251
N:GEXP::KRT5:3852:	141.57484	221.76513	131.5944	99.54611	112.889054	106.2202787	2829.8602	21884.86282	7447.82182	7116.4009	235.75201	215.89849	581.97433	7303.6959	16174.0646	1808.70173	911.96786	548.9916	2241.95101	6519.9799	3410.0789	5193.2497	508.84946	161.00181	135.00005	187.84703	1249.9352	376.577009	17221.6395	99361.26764	40441.72199	22155.912	1696.6931	567.85339	828.41233	17763.88264	5628.5092	500.60379	2232.77881	2531.50626	10418.75011	59086.2128	20181.70668	238.622109	161.78256	774.10107	99.90919	6.999998	14.99996	1976.21253	29.00001	79.31431	61.43015	82.42135	23.09758	905.15956	47.999989	314.65338	0	988.28268	10732.9439	149.23974	580.49813	72.64394	8.06712	1457.38528	0	15	2	781.93828	9.999995	1	6.999999	16.00002	302.41245	14579.06938	2	291.29539	0	7406.9465	1	302.00031	0	353.41048	1	952.9858	29500.84901	22.91028	59.99997	1	188.00004	3	3.050636	5.04379	48.00003	443.37558	30.00002	20	23395.5943	14509.633	931.44633	17010.11649	383.60132	1085.90602	158.00015	5.00001	237.97771	4110.20267	147.898818	4	0	5.999999	4.999998	0	0	49.99999	8	3	0	4	8.999998	33.99999	15591.9097	8	6.000002	284.98078	1	21495.1538	17346.88627
N:GEXP::LOC145837:145837:	5	7	24.00002	30.99997	23.000007	5	10	6	14	12	19	597.00074	13.000005	1	6	3.999996	13	15.86959	7	30.99996	16.000003	9.999998	20.00001	6.999999	68.99998	68.00004	0	11.999998	20	23.00001	13	2	0	9	4	7	6	2	22.99997	8	4.999999	6	15.00001	222	57.00007	3	29.00006	21.99996	15.00001	4	45.000022	29.999957	44.000039	44.99998	6	52.99996	85.99999	121.99997	141.99996	49.000002	46.99995	42.00005	277.0004	76.9999471	650.00032	769.0718	1326.65658	67.999985	470.7062	94.00011	451.73018	145.86408	431.32648	55.99998	17	402.16487	2006.19755	440.99967	455.82978	293.85738	1803.95486	113.00005	32.00004	140.99998	2128.0002	21.99998	6.000004	40.00004	167.00006	268.99958	59.99995	66.99994	30.00005	11.0000023	43.00001	42.00006	9	22.00001	50.99997	7	7	10.000009	5	94.07568824	62.63503	119.0001	1211.4248	54.99998	355.99983	217.00003	238.99995	295.88854	547.962	52	717.67491	243.00033	262.00004	1452.25216	2172.3544	195.00003	536.9997	322.00013	63.000086	33.00005	87.000049	292.00021	701.99927	32.99995	9.000002
N:GEXP::MAPT:4137:	320.99972	270.00007	4204.99876	1371.00095	167.00021	218.99966	762.99971	1158.00045	952.0002	1066.00005	198.0002	352.9997	372.00007	139.000092	440.9998	336.00001	872.6099	2664.00102	177.00053	1163.00044	405.00009	438.99912	382	360.00007	1354.0004	2581.94982	1388.99994	1444.9986	133.99999	714.9992	202.9997	448.0001	133.000069	313.00062	282.99987	177.00005	255.00002	249	70.99995799	68	192.0006	560.00091	1404.00072	4190.00126	4416.9988	3961.001736	1867.9998	1918.9994	2133.9982	3045.99631	6082.00028	209.0002	131.0001	32.0000176	43.000034	445.99998	852.9993	462.00068	102.000023	294	747.00056	149.0001	181.00029	678.0005	229.000456	278.000022	1011.99988	492.99993	3288.00176	478.00031	2545.0012	7106.00093	1440.00043	2949.0052	2018.9248	5788.00071	676.0009	2206.00196	924.00029	12455.0144	1978.00107	340.99999	573	108	318.999631	522.8344	274.00025	1255.00095	20634.9978	656	169	16496.01061	2306.0016	490.00006	1267.99995	460.00025	276.999604	138.99998	707.99974	820.0002	203.00014	868.99946	147	1964.00139	322.00037	1432.0023	2483.00001	662.0005	69.99998	9398.00546	267.00007	1737.00034	222.99998	1537.001267	5994.99944	1154.00081	76.9999805	155.999991	285.00039	5943.9978	5759.00329	2847.9985	330.00008	19324.0193	15198.967	120.00005	66.99995956	1447.9997	620.99976
N:GEXP::MBOAT1:154141:	696	2801	2261	707	1109	1923	4288	11498	6162	5626	496	431	275	253	7815	9771	1064	638	353	147	1350	4241	658.001	226	518	741	211	275	808	1497	343	665	313	34	5333	6384	7627	5642	953	1454	893	307	259	529	876	433	306	610	460	428	534	192	221	909	642	422	818	427	491	339	544	577	635	1784	115	1196	3126	1290	5343	944.001	1052	3720	901	401	2240	4886	2683	1165	1205	1982	2221	192	281	277	1585	346	601	191	2087	411	318	952	2376	455	1098	274	187	377	847	961	501	3728	583	798	135	656.001	1802	802	1153	1237	392	6460	931	110	1320	553	578	686	662	633	967	555	856	41	178	746	268	1012	891
N:GEXP::MCCC2:64087:	805.00039	3537.999095	1870.00429	570.00057	1146.00075	2254.00146	792.00007	2016.99939	1466.9998	1655.0035	772.0004	3992.0056	607.00008	1754.00015	1819.9958	1252.99966	1676.00205	3965.9972	1826.99646	3822.00192	1749.00368	4234.0085	517.0005	968.9998	3001.00451	5734.9952	2043.002648	5515.0041	1874.00309	2731.9969	3676.0048	2784.00388	844.00012	647.000382	1565.00032	2046.9996	3921.9962	2011.99781	2321.9963	2484.0002	1375.99973	817.00022	3188.0051	4178.9961	7521.00457	4500.9986	2664.99927	4528.00045	1987.99954	6312.9986	3501.99528	1040.00023	2377.9959	7827.9951	2696.0029	1344.9981	3438.9957	4628.99565	7711.9929	1152.00077	4475.0051	1755.00459	1794.9962	5421.002	7176.005	11425.0019	20379.023	2640.99694	6380.0017	2363.00139	2986.9981	3933.9958	2178.00362	1737.99919	2969.0009	6532.9968	6745.0058	2543.9989	5763.9975	6724.99922	20301.016	3089.9983	4212.0044	5552.99754	11130.9978	1670.99978	5912.001915	3053.00196	20065.9619	6489.0051	1678.99968	2624.99797	9101.0093	829.00002	9406.0101	1351.00389	456.00007	736.9998	2931.99639	3511.00276	1454.9973	4325.9954	1908.99483	1992.00469	1388.003	1103.0019	3308.9997	5707.9947	10638.0115	13515.9951	2489.0014	12925.9994	12834.0053	1919.0054	3950.000174	2063.9986	7745.9906	14912.9462	4751.00517	11597.9962	15749.961	7760.00391	6745.99984	168.00011	1527.99622	1355.99998	10629.0041	6196.0027	2830.997507
